Date,Close,Volume,movAvg50,movAvg100,movAvg200
20-Apr-12,38.2,1949,36.202,35.438,33.564
21-Apr-12,38,1225,36.284,35.39,33.639
22-Apr-12,38.1,603,36.366,35.343,33.69
23-Apr-12,38.1,509,36.43,35.299,33.7405
24-Apr-12,38.3,2095,36.49,35.259,33.778
25-Apr-12,38.4,2464,36.562,35.218,33.8175
26-Apr-12,38.4,532,36.638,35.17,33.855
27-Apr-12,38.2,1410,36.748,35.126,33.891
28-Apr-12,37.8,2566,36.876,35.088,33.925
29-Apr-12,37.1,1537,36.958,35.093,33.9405
30-Apr-12,37.4,1455,37.028,35.147,33.9575
1-May-12,37.3,200,37.094,35.213,33.977
2-May-12,37.1,835,37.124,35.288,33.9975
3-May-12,36.5,1340,37.182,35.358,34.015
4-May-12,36.5,1270,37.23,35.457,34.0285
5-May-12,35.8,1581,37.256,35.474,34.0425
6-May-12,35,733,37.25,35.433,34.0575
7-May-12,35.2,464,37.234,35.393,34.0735
8-May-12,36.1,2393,37.226,35.363,34.089
9-May-12,36.2,1464,37.224,35.325,34.105
10-May-12,36.5,600,37.202,35.302,34.124
11-May-12,36.7,233,37.168,35.26,34.1515
12-May-12,36.5,1891,37.154,35.229,34.1735
13-May-12,36.4,1202,37.136,35.199,34.1945
14-May-12,36.4,1040,37.118,35.177,34.2155
15-May-12,38,2155,37.128,35.168,34.239
16-May-12,39.6,4393,37.174,35.164,34.2765
17-May-12,39.2,2421,37.214,35.18,34.31
18-May-12,39.6,1099,37.262,35.25,34.3415
19-May-12,40.9,3395,37.34,35.33,34.381
20-May-12,39.7,1360,37.39,35.406,34.411
21-May-12,39.4,1026,37.442,35.504,34.4395
22-May-12,37.6,2326,37.466,35.551,34.455
23-May-12,38,2768,37.48,35.605,34.477
24-May-12,39.4,3522,37.542,35.707,34.506
25-May-12,38.6,3295,37.574,35.789,34.532
26-May-12,38.5,2038,37.602,35.886,34.5495
27-May-12,38.7,523,37.634,35.977,34.5695
28-May-12,38.5,760,37.658,36.077,34.5975
29-May-12,38.8,367,37.694,36.17,34.6185
30-May-12,38.8,2699,37.728,36.268,34.6435
31-May-12,38.8,1770,37.754,36.358,34.669
1-Jun-12,38.8,3901,37.768,36.451,34.692
2-Jun-12,41.5,9310,37.832,36.555,34.737
3-Jun-12,42.3,2743,37.922,36.675,34.793
4-Jun-12,42.1,1176,38.01,36.79,34.8405
5-Jun-12,42.3,1328,38.152,36.9,34.887
6-Jun-12,43.5,4343,38.28,37.024,34.94
7-Jun-12,43.2,3070,38.39,37.179,34.997
8-Jun-12,42.8,3273,38.496,37.287,35.0535
9-Jun-12,42.9,1710,38.59,37.396,35.11
10-Jun-12,43.1,844,38.692,37.488,35.168
11-Jun-12,42.9,608,38.788,37.577,35.2335
12-Jun-12,42.5,1336,38.876,37.653,35.3025
13-Jun-12,42.9,2927,38.968,37.729,35.367
14-Jun-12,42.5,2623,39.05,37.806,35.4355
15-Jun-12,42.7,1356,39.136,37.887,35.519
16-Jun-12,42.7,2744,39.226,37.987,35.601
17-Jun-12,41.7,1210,39.304,38.09,35.6845
18-Jun-12,42,1322,39.402,38.18,35.7845
19-Jun-12,42.4,3342,39.502,38.265,35.8915
20-Jun-12,42.1,2083,39.598,38.346,35.992
21-Jun-12,42,2415,39.696,38.41,36.0975
22-Jun-12,42.4,726,39.814,38.498,36.201
23-Jun-12,42.1,751,39.926,38.578,36.298
24-Jun-12,42.3,183,40.056,38.656,36.3895
25-Jun-12,41.9,1186,40.194,38.722,36.497
26-Jun-12,42.2,719,40.334,38.784,36.598
27-Jun-12,42.5,1256,40.462,38.844,36.6935
28-Jun-12,42.3,2764,40.584,38.904,36.8
29-Jun-12,42.8,4441,40.71,38.956,36.9095
30-Jun-12,41.9,4083,40.814,38.991,37.0145
1-Jul-12,41.6,773,40.916,39.035,37.11
2-Jul-12,42,1353,41.028,39.082,37.1975
3-Jul-12,41,1613,41.12,39.119,37.2525
4-Jul-12,40.7,2059,41.174,39.151,37.3015
5-Jul-12,40.6,2250,41.194,39.184,37.338
6-Jul-12,40.8,2032,41.226,39.22,37.3785
7-Jul-12,41.1,2492,41.256,39.259,37.4175
8-Jul-12,41.2,536,41.262,39.301,37.4585
9-Jul-12,40.7,1149,41.282,39.336,37.4855
10-Jul-12,41.2,2138,41.318,39.38,37.517
11-Jul-12,41.7,1354,41.4,39.433,37.551
12-Jul-12,41.8,1002,41.476,39.478,37.583
13-Jul-12,41.9,645,41.526,39.534,37.624
14-Jul-12,42.3,3163,41.6,39.587,37.661
15-Jul-12,41.5,1095,41.66,39.631,37.687
16-Jul-12,41.4,620,41.714,39.674,37.7115
17-Jul-12,41.6,1000,41.776,39.717,37.7325
18-Jul-12,41,3300,41.82,39.757,37.7475
19-Jul-12,39.6,7166,41.836,39.782,37.7515
20-Jul-12,40.7,1599,41.874,39.814,37.765
21-Jul-12,38.4,2016,41.866,39.817,37.7645
22-Jul-12,38.4,2553,41.804,39.818,37.7515
23-Jul-12,37.9,2051,41.716,39.819,37.741
24-Jul-12,40.4,2291,41.682,39.846,37.7495
25-Jul-12,40.2,1643,41.64,39.896,37.7505
26-Jul-12,40.1,3905,41.572,39.926,37.736
27-Jul-12,40.5,6054,41.518,39.954,37.737
28-Jul-12,40.7,1785,41.476,39.986,37.7355
29-Jul-12,40.7,900,41.432,40.011,37.7245
30-Jul-12,40.3,312,41.376,40.034,37.712
31-Jul-12,40.1,783,41.32,40.054,37.6985
1-Aug-12,40.2,1243,41.274,40.075,37.687
2-Aug-12,39.7,2022,41.21,40.089,37.674
3-Aug-12,39.7,1147,41.154,40.102,37.66
4-Aug-12,39.8,2614,41.096,40.116,37.643
5-Aug-12,39.6,1422,41.034,40.13,37.628
6-Aug-12,39.6,950,40.992,40.148,37.618
7-Aug-12,39.8,3968,40.948,40.175,37.634
8-Aug-12,39.7,4513,40.894,40.198,37.6725
9-Aug-12,38,1862,40.812,40.205,37.709
10-Aug-12,38.3,3525,40.738,40.217,37.7525
11-Aug-12,38.6,4309,40.662,40.238,37.798
12-Aug-12,38.5,7818,40.59,40.258,37.8575
13-Aug-12,40.5,6412,40.554,40.305,37.8895
14-Aug-12,41.6,11977,40.548,40.371,37.902
15-Aug-12,42.1,14179,40.546,40.44,37.9165
16-Aug-12,42.8,8422,40.552,40.507,37.935
17-Aug-12,43.4,11514,40.574,40.579,37.952
18-Aug-12,42.3,8216,40.564,40.637,37.9695
