Date, Obama, ObamaCare, ObamaAbortion, ObamaEconomy, ObamaHealthcare, Romney, RomneyAbortion, RomneyEconomy, RomneyHealthcare
15-Sep-11,497736,206973,10700,28947,10202,780986,9544,11088,4804
16-Sep-11,498666,206739,10415,28613,10032,793943,9439,11140,4774
17-Sep-11,493696,206899,10556,28291,10186,795624,9531,10917,4795
18-Sep-11,494749,206676,10556,29420,10182,793817,9421,11290,4799
19-Sep-11,496978,206730,10463,28139,10371,793352,9449,11156,4708
20-Sep-11,486058,206566,10632,28324,10251,793651,9476,11197,4774
21-Sep-11,491898,206413,10622,27991,10005,793736,9509,11127,4729
22-Sep-11,487569,206302,10513,28251,9998,793783,9543,11061,4734
23-Sep-11,497849,205850,10416,28433,10106,791976,9438,11126,4751
24-Sep-11,486416,205764,10569,27824,10164,789403,9437,11059,4744
25-Sep-11,490571,205844,10414,27622,9838,790171,9430,11204,4753
26-Sep-11,479450,196528,10412,28414,10099,790879,9436,11090,4727
27-Sep-11,481814,205661,10562,27884,9976,788549,9249,11059,4738
28-Sep-11,476365,205622,10581,27799,10044,790368,9503,11103,4750
29-Sep-11,481682,205649,10649,27807,10102,788554,9506,10997,4774
30-Sep-11,476617,205472,10505,28004,10049,790475,9487,11200,4774
1-Oct-11,478174,205404,10681,27754,9931,788715,9481,11112,4735
2-Oct-11,478545,205286,10518,27652,10035,788132,9450,11077,4718
3-Oct-11,479886,205357,10586,28074,9915,789461,9478,10941,4753
4-Oct-11,480881,205071,10540,28227,9906,789373,9510,11118,4706
5-Oct-11,477767,205049,10577,27617,9791,788944,9477,11246,4692
6-Oct-11,485268,204883,10425,27932,9856,789266,9495,11144,4738
7-Oct-11,476688,204738,10333,26872,9754,788548,9463,11178,4737
8-Oct-11,478861,201766,10493,27601,9845,774132,9399,10900,4721
9-Oct-11,481463,204610,10523,27686,9833,785775,9370,11247,4733
10-Oct-11,474929,204513,10326,27666,9993,786419,9375,11123,4712
11-Oct-11,479823,204080,10655,27700,9748,781431,9404,10869,4638
12-Oct-11,476956,203884,10431,27528,9763,783006,9313,10951,4701
13-Oct-11,469573,203840,10424,27598,10023,771917,9418,10926,4668
14-Oct-11,474028,203480,10482,27881,9684,780237,9307,11093,4670
15-Oct-11,470441,203320,10272,27447,9787,782224,9394,10975,4660
16-Oct-11,463962,203275,10327,27030,9934,778346,9364,10993,4637
17-Oct-11,470657,203083,10382,27482,9879,780076,9385,10917,4638
18-Oct-11,462529,202799,10305,27141,9901,777095,9340,10999,4609
19-Oct-11,469909,202525,10270,27479,9851,776064,9297,10968,4583
20-Oct-11,464561,202500,10510,26744,9727,777364,9251,10892,4576
21-Oct-11,465864,202472,10215,27230,9870,774091,9309,10864,4575
22-Oct-11,462714,202376,10144,27465,9921,776106,9217,11061,4597
23-Oct-11,469031,202395,10357,27649,9872,774132,9271,10895,4572
24-Oct-11,464309,202118,10305,27236,9902,774430,9245,11021,4572
25-Oct-11,458361,202155,10226,27057,9673,773251,9167,10993,4579
26-Oct-11,454652,201949,10094,27557,9833,772598,9255,10965,4578
27-Oct-11,461814,201825,10225,26919,9896,774197,9141,10907,4590
28-Oct-11,454617,201587,10376,26637,9836,772086,9128,11067,4542
29-Oct-11,451467,201521,10168,27007,9676,769952,9205,11069,4528
30-Oct-11,451032,201578,10139,27440,9704,771156,9119,11030,4526
31-Oct-11,454973,201258,10069,26524,9813,770805,9104,10921,4507
1-Nov-11,464754,201191,10241,27107,9489,769461,9172,10872,4569
2-Nov-11,455885,201248,10104,27082,9617,770020,9173,10891,4541
3-Nov-11,458454,201005,10241,26284,9852,768683,9160,10980,4557
4-Nov-11,451320,200874,10009,26344,9841,769741,9057,10817,4529
5-Nov-11,459533,200866,10105,26791,9578,770382,9028,10820,4526
6-Nov-11,448277,200799,10185,26846,9820,765984,9115,10899,4544
7-Nov-11,458916,200666,10074,26430,9591,768413,9095,10841,4532
8-Nov-11,451951,200607,10064,26160,9743,767474,9029,10998,4563
9-Nov-11,449566,200428,10229,26329,9570,765480,8960,10913,4506
10-Nov-11,448787,200214,10197,26607,9558,765087,8967,10873,4498
11-Nov-11,448361,200070,10185,26130,9558,765447,8917,10810,4484
12-Nov-11,447039,199980,10239,26321,9776,764752,8954,10903,4492
13-Nov-11,455979,199859,10229,26685,9582,761333,9033,10806,4525
14-Nov-11,450772,199483,10105,26425,9426,762413,9011,11032,4472
15-Nov-11,447826,198928,10171,26829,9502,760915,8946,10797,4498
16-Nov-11,446327,198656,10068,26288,9336,761488,8999,10788,4495
17-Nov-11,440285,198608,9996,26609,9277,762559,8937,10735,4456
18-Nov-11,441628,198308,10046,26500,9368,760522,8920,10719,4438
19-Nov-11,444784,198194,9931,26352,9490,760735,8916,10645,4457
20-Nov-11,444973,198065,10091,26260,9410,762004,8901,11012,4458
21-Nov-11,436637,197892,10115,26053,9478,758700,8924,10980,4479
22-Nov-11,449260,197747,9972,26138,9462,756444,8973,10925,4469
23-Nov-11,442915,197531,9964,26429,9392,757611,8971,10724,4438
24-Nov-11,438926,197539,10005,25266,9409,756393,8972,10859,4453
25-Nov-11,445034,197481,10104,25358,9331,723636,8880,10699,4437
26-Nov-11,441664,197403,10092,25744,9328,758751,8903,10806,4476
27-Nov-11,441656,197242,9812,26048,9484,757024,8873,10953,4452
28-Nov-11,434078,197215,9909,25756,9441,755261,8584,10848,4424
29-Nov-11,427228,196956,10027,26014,9341,755382,8907,10849,4415
30-Nov-11,432420,196877,9956,26810,9193,754907,8805,10729,4424
1-Dec-11,445937,196845,9858,25897,9094,755501,8864,10826,4451
2-Dec-11,439100,196698,9886,25737,9265,754746,8797,10842,4420
3-Dec-11,434249,196437,9834,25989,9180,752592,8850,10815,4442
4-Dec-11,436764,196426,9925,26062,9073,753685,8784,10761,4418
5-Dec-11,435292,196467,9742,25484,9266,752065,8861,10777,4409
6-Dec-11,440199,196172,9670,26173,9203,750287,8843,10712,4384
7-Dec-11,437877,195875,9778,26173,9456,749916,8758,10739,4416
8-Dec-11,432322,195844,9724,25757,9301,747011,8758,10698,4404
9-Dec-11,432806,195662,9975,25816,9471,746050,8820,10711,4390
10-Dec-11,429454,195609,9833,25662,9109,746022,8720,10949,4353
11-Dec-11,418942,195501,9663,24985,9306,747429,8817,10815,4358
12-Dec-11,421144,195538,9837,25751,9117,743522,8740,10750,4398
13-Dec-11,428411,186532,9787,25676,9269,743698,8798,10614,4368
14-Dec-11,426076,195092,9750,25588,9225,741747,8792,10668,4332
15-Dec-11,428784,194976,9763,25475,9299,742078,8682,10774,4326
16-Dec-11,414997,194879,9682,25719,9306,739004,8664,10749,4341
17-Dec-11,425825,194756,9814,25184,9223,738599,8697,10557,4382
18-Dec-11,420799,194729,9743,25372,9211,737882,8659,10661,4348
19-Dec-11,427016,194520,9742,25894,9200,737923,8693,10794,4358
20-Dec-11,423212,194345,9534,25765,9155,725037,8689,10835,4359
21-Dec-11,422020,194421,9709,26183,9053,734159,8664,10639,4344
22-Dec-11,417603,194089,9733,25707,9157,736666,8620,10727,4313
23-Dec-11,424416,194105,9722,25470,9084,734813,8457,10771,4344
24-Dec-11,424563,194068,9782,25714,9208,733515,8655,10598,4145
25-Dec-11,418368,193957,9728,25312,9182,734235,8596,10824,4370
26-Dec-11,420180,193949,9690,25383,9103,734217,8671,10765,4308
27-Dec-11,413804,193762,9697,25020,9221,732061,8577,10707,4325
28-Dec-11,418974,193663,9644,25737,9002,733447,8570,10678,4302
29-Dec-11,420013,193544,9605,25433,9193,732553,8553,10604,4298
30-Dec-11,408045,193431,9636,24964,8992,716992,8516,10785,4265
31-Dec-11,423250,193307,9531,25340,9337,726818,8556,10605,4260
1-Jan-12,429537,193215,9547,24796,9138,729733,8499,10830,4295
2-Jan-12,428933,193156,9625,25273,9084,725857,8463,10591,4221
3-Jan-12,420405,193086,9616,24901,9040,724818,8493,10783,4293
4-Jan-12,415401,192903,9661,25137,9100,717658,8500,10675,4254
5-Jan-12,414559,192768,9461,25110,9285,717336,8401,10652,4253
6-Jan-12,419012,192485,9416,24991,9092,714151,8373,10599,4221
7-Jan-12,422246,192285,9451,24982,9148,708517,8337,10384,4254
8-Jan-12,417645,192231,9445,24770,9097,708100,8363,10470,4193
9-Jan-12,415599,186262,9438,24918,9198,705613,8272,10501,4209
10-Jan-12,402485,191897,9588,24891,9104,697923,8309,10468,4190
11-Jan-12,409453,191636,9543,24336,8979,696450,8182,10537,4148
12-Jan-12,421857,191484,9495,25144,8918,681328,8128,10356,4196
13-Jan-12,403049,191450,9406,24904,9040,690123,8102,10484,4187
14-Jan-12,406231,191214,9372,25442,8958,689811,8046,10404,4188
15-Jan-12,402204,191189,9504,24796,8888,688196,8115,10483,4176
16-Jan-12,398143,190918,9404,24754,8723,681638,8044,10257,4172
17-Jan-12,404478,190685,9459,25076,9116,676098,7923,10416,4164
18-Jan-12,403922,190525,9343,24312,8964,674003,7844,10400,4161
19-Jan-12,411507,190034,9269,24606,8907,669767,7741,10305,4130
20-Jan-12,397026,189869,9291,24577,8950,667344,7676,10105,4094
21-Jan-12,397065,189667,9297,23915,8939,662248,7709,10313,4078
22-Jan-12,395073,189525,9311,24627,8826,661819,7646,10166,4086
23-Jan-12,400593,189302,9155,24421,8935,659453,7627,10294,4060
24-Jan-12,391562,189030,9013,24217,8797,652788,7660,10106,4035
25-Jan-12,396497,188675,9171,23930,8968,653028,7655,10099,4052
26-Jan-12,382208,188097,8959,23649,8796,641395,7574,10048,3992
27-Jan-12,381514,187684,8961,23957,8692,641863,7563,10037,3926
28-Jan-12,391459,187373,8970,24079,8845,639553,7554,10259,3922
29-Jan-12,379257,187098,9035,24330,8816,635273,7457,9974,3903
30-Jan-12,370895,186604,8855,23484,8697,632019,7464,9989,3880
31-Jan-12,388581,186085,9003,23455,8603,617427,7411,9978,3902
1-Feb-12,379753,185734,8734,23434,8567,620623,7436,10083,3893
2-Feb-12,386681,185464,8740,23820,8622,615959,7343,9922,3873
3-Feb-12,369698,185132,8744,23107,8677,614107,7412,9931,3834
4-Feb-12,382524,184953,9006,23107,8612,611019,7343,9965,3831
5-Feb-12,379636,184787,8864,23690,8676,607748,7296,9904,3839
6-Feb-12,371106,184541,8753,23250,8638,603297,7415,9572,3803
7-Feb-12,374134,184095,8732,23174,8666,600592,7367,9675,3795
8-Feb-12,379934,183639,8620,22635,8671,601239,7306,9848,3774
9-Feb-12,379554,183197,8584,23168,8554,600314,7305,9977,3814
10-Feb-12,369310,182690,8662,22921,8350,597577,7325,9971,3827
11-Feb-12,373040,182359,8649,23152,8490,594634,7411,9795,3804
12-Feb-12,360896,182122,8680,22598,8513,592750,7562,9733,3667
13-Feb-12,359606,181674,8623,22518,8448,589861,7468,9889,3774
14-Feb-12,371294,181333,8499,22101,8423,588992,7504,9790,3731
15-Feb-12,354543,180813,8475,22460,8362,587549,7406,9706,3778
16-Feb-12,351767,180390,8495,22187,8189,587525,7480,9725,3764
17-Feb-12,360816,180092,8618,21783,8360,583832,7611,9672,3783
18-Feb-12,366894,179858,8526,22401,8068,583724,7833,9738,3779
19-Feb-12,359078,179646,8662,22214,8412,574920,7790,9741,3740
20-Feb-12,355733,179403,8630,22049,8362,581324,8025,9860,3758
21-Feb-12,344827,179178,8638,21782,8260,581479,7943,9724,3732
22-Feb-12,355691,178857,8725,21900,8272,575794,8028,9459,3731
23-Feb-12,354534,178364,8681,22134,8247,574015,8118,9571,3736
24-Feb-12,338427,178042,8590,21684,8216,576014,8002,9602,3688
25-Feb-12,355830,177793,8631,21554,8175,569936,7985,9511,3745
26-Feb-12,352749,177580,8602,21993,8242,569062,8029,9702,3706
27-Feb-12,347447,177265,8346,21978,8156,570811,7942,9511,3723
28-Feb-12,346219,176797,8263,21444,7960,565248,7995,9490,3718
29-Feb-12,331042,176329,8587,21559,7888,562600,8026,9672,3686
1-Mar-12,335004,175957,8704,21195,7801,554638,8148,9417,3667
2-Mar-12,345503,175734,8797,21310,7779,553583,8205,9467,3679
3-Mar-12,344495,175391,8695,21542,7757,538297,8195,9601,3485
4-Mar-12,345942,175179,8511,20898,7785,552810,8181,9376,3581
5-Mar-12,340562,174836,8727,21047,7337,550009,8239,9375,3632
6-Mar-12,337986,171915,8726,21231,7714,549611,8253,9412,3633
7-Mar-12,336447,171555,8251,20937,7724,542298,8233,9331,3517
8-Mar-12,335636,173841,8795,20834,7659,540997,8371,9445,3551
9-Mar-12,333060,165818,8822,20743,7639,534272,8434,9299,3532
10-Mar-12,326982,173216,8892,21285,7471,535374,8606,9160,3529
11-Mar-12,332270,173016,8932,20860,7611,535045,8608,9307,3579
12-Mar-12,335904,172600,9087,20499,7635,533939,8648,9318,3531
13-Mar-12,330323,172167,9098,21252,7614,531882,8804,9317,3500
14-Mar-12,333023,171450,9078,20994,7573,527170,8852,9138,3468
15-Mar-12,325371,170908,9034,20667,7698,509200,8749,9120,3434
16-Mar-12,319010,170310,9025,20291,7477,523953,8836,9099,3260
17-Mar-12,324129,169986,9042,20574,7454,525420,8761,9288,3474
18-Mar-12,320981,169728,8949,20655,7409,526700,8771,8846,3484
19-Mar-12,318988,169115,8950,20739,7476,519983,8435,9206,3411
20-Mar-12,301064,168386,8887,20338,7421,517548,8743,9203,3465
21-Mar-12,317228,167640,8962,20515,7341,512832,8841,9126,3470
22-Mar-12,315467,166818,9034,20168,7347,508509,9003,9066,3429
23-Mar-12,314113,165049,8948,20113,7287,510995,8987,8993,3373
24-Mar-12,316991,163785,9181,20052,7258,510120,9116,9085,3387
25-Mar-12,311845,162714,9252,20554,7161,504704,9375,9073,3274
26-Mar-12,309175,160217,9043,20215,6861,504913,9323,9022,3304
27-Mar-12,313106,157057,8931,19855,6873,507304,9321,9022,3320
28-Mar-12,306785,154627,9308,20117,6826,502382,9273,9033,3278
29-Mar-12,311434,151730,9206,20009,6580,499029,9319,8943,3252
30-Mar-12,304357,151304,9278,19799,6382,486611,9360,8829,3269
31-Mar-12,301130,153484,9309,19744,6547,497299,9273,9029,3266
1-Apr-12,307059,152749,9208,20590,6436,500095,9366,8939,3241
2-Apr-12,303326,151898,9220,20079,6487,495647,9356,9104,3197
3-Apr-12,303093,148469,9193,20035,6470,497105,9338,8625,3277
4-Apr-12,299743,149749,9114,19836,6454,491347,9265,8800,3255
5-Apr-12,301360,149417,9332,19978,6344,486674,9512,8842,3179
6-Apr-12,297844,144885,9421,20160,6453,487755,9647,8986,3256
7-Apr-12,297487,149699,9376,19627,6394,487862,9642,8880,3296
8-Apr-12,295397,149417,9334,19844,6498,484116,9635,8788,3294
9-Apr-12,296962,148947,9438,19230,6480,482778,9695,8368,3428
10-Apr-12,288127,148575,9431,19560,6543,474934,9701,8622,3370
11-Apr-12,299934,148345,9432,19417,6494,479794,9652,8612,3389
12-Apr-12,293056,148297,9430,18889,6357,474542,9627,8813,3355
13-Apr-12,291620,147919,9423,19117,6697,472365,9627,8605,3386
14-Apr-12,281335,147654,9489,19210,6547,469371,9668,8663,3403
15-Apr-12,284738,147370,9494,19057,6678,471341,9652,8654,3382
16-Apr-12,284946,147038,9499,19125,6594,465066,9593,8519,3481
17-Apr-12,281028,147037,9405,19043,6675,462380,9362,8501,3460
18-Apr-12,266153,144570,9434,18861,6958,459434,9515,7978,3508
19-Apr-12,281733,146325,9436,18474,6644,453652,9495,8119,3492
20-Apr-12,276229,143901,9375,18682,6939,453573,9663,8222,3588
21-Apr-12,261717,145711,9437,18298,6952,445290,9526,8071,3598
22-Apr-12,275094,145527,9376,18460,7139,447743,9523,8469,3418
23-Apr-12,268020,145187,9403,18224,7259,426447,9625,8281,3657
24-Apr-12,268698,145406,9333,17925,7565,446176,9611,7949,3710
25-Apr-12,269209,145071,9282,17772,7600,441757,9599,7773,3752
26-Apr-12,264167,144746,9282,17730,7953,443363,9552,8168,3905
27-Apr-12,265933,144389,8855,17942,7930,419831,9436,8150,3859
28-Apr-12,254766,144516,9272,17854,8015,438190,9582,7806,3939
29-Apr-12,263036,144361,9309,17706,8085,437366,9604,7985,3847
30-Apr-12,268898,144128,9098,17292,8162,436778,9635,8083,4077
1-May-12,266561,144433,8969,17556,8635,433307,9640,8045,4304
2-May-12,252531,144109,9350,17220,8941,430635,9634,8001,4391
3-May-12,245068,144021,9246,17332,8655,416713,9619,8046,4398
4-May-12,238409,143661,9071,17319,9169,422889,9615,7824,4396
5-May-12,247773,137057,9208,17182,8926,424333,9607,7758,4444
6-May-12,249451,143218,9247,16973,9082,422751,9512,7692,4418
7-May-12,245102,142904,9199,16971,9024,421713,9613,7591,4413
8-May-12,246326,142993,9264,17096,9334,411408,9496,7380,4638
9-May-12,241399,143056,9162,16530,9467,416488,9489,7541,4691
10-May-12,242937,143381,9144,16566,9712,413692,9493,7555,4818
11-May-12,238462,143112,9121,16550,10064,406122,9463,7645,4921
12-May-12,235414,143270,9086,16167,10230,407404,9477,7327,4953
13-May-12,230559,141538,9069,16451,9652,402298,9531,7386,4972
14-May-12,226982,143665,9039,16190,10246,403781,9222,7287,5041
15-May-12,227632,143291,9024,16015,10257,403156,9538,7060,5080
16-May-12,234332,143269,9025,16172,10127,399257,9396,7163,5157
17-May-12,224416,142816,8767,15536,10420,395036,9520,7032,5131
18-May-12,224253,142884,8923,15583,10228,392788,9519,7147,5192
19-May-12,221495,142704,8873,15511,10644,391487,9392,6985,5193
20-May-12,222566,142563,8782,15473,10517,393618,9471,7001,5258
21-May-12,217693,142387,8916,15521,10560,391527,9369,7038,5180
22-May-12,219539,142016,8703,14928,10585,389701,9455,7069,5180
23-May-12,218389,141659,8812,15081,10422,388748,9488,6692,5238
24-May-12,221797,141194,8860,14952,10775,385005,9356,6753,5269
25-May-12,216794,140885,8791,14658,10814,384313,9347,6786,5281
26-May-12,211717,140638,8661,15037,10709,382697,9413,6694,5315
27-May-12,211578,140434,8716,14221,10726,379811,9428,6675,5226
28-May-12,212921,140225,8788,14657,10959,379391,9402,6809,5327
29-May-12,209818,139929,8714,14811,10819,378100,9413,6578,5316
30-May-12,208378,139587,8712,14702,10644,371954,9273,6511,5239
31-May-12,205596,139226,8612,14829,10766,357499,9335,6672,5079
1-Jun-12,203728,139504,8570,13982,10893,367140,9254,6472,5426
2-Jun-12,203734,139286,8513,14061,11004,370100,9223,6423,5489
3-Jun-12,201739,139126,8449,14398,11009,365846,9306,6250,5430
4-Jun-12,197845,139086,8438,13999,10851,364090,9210,6211,5437
5-Jun-12,196773,139334,8397,13852,11143,362579,9183,6170,5404
6-Jun-12,199048,134559,8358,13679,10950,353821,9278,6290,5435
7-Jun-12,200839,138567,8262,13936,10948,355734,9154,6119,5407
8-Jun-12,190278,138077,8326,12591,10866,358268,8964,6097,5443
9-Jun-12,186270,137704,8284,12421,10961,354102,9241,5969,5403
10-Jun-12,193026,137404,8290,12280,10950,354105,9154,5974,5426
11-Jun-12,185913,132928,8264,12436,10873,353768,9128,5855,5487
12-Jun-12,187582,136375,8233,11914,10834,350384,9213,5588,5401
13-Jun-12,180802,136580,8197,11933,10997,349615,9105,5775,5405
14-Jun-12,181464,136059,8169,11251,10806,346537,9196,5369,5375
15-Jun-12,173793,135874,8174,10619,10757,344182,9189,5439,5283
16-Jun-12,179814,136193,8143,11211,10691,343449,9093,5412,5286
17-Jun-12,177855,135883,8084,10867,10902,340870,9185,5368,5327
18-Jun-12,172116,135249,8113,10966,10783,338845,9083,5283,5277
19-Jun-12,170310,134922,8086,10652,10731,337554,9149,5239,5287
20-Jun-12,172527,135436,8075,10382,10600,333812,9072,5270,5288
21-Jun-12,169143,134629,8016,10377,10662,332508,9141,5175,5295
22-Jun-12,169150,133831,7980,10382,10565,330436,9139,5138,5217
23-Jun-12,165494,133639,7987,10149,10500,328509,9028,5077,5202
24-Jun-12,160261,133037,7974,10152,10782,327718,9134,4844,5301
25-Jun-12,159770,131759,7958,9635,10468,325239,9129,4710,5185
26-Jun-12,169551,131564,7939,10125,10311,324051,9106,4900,5196
27-Jun-12,154788,130436,7867,10187,10136,322025,9081,4969,5128
28-Jun-12,159806,118539,7857,9867,8940,319539,8777,4818,4872
29-Jun-12,158144,104308,7846,9725,8148,316806,8942,4876,4533
30-Jun-12,155210,100492,7789,9596,7909,317274,8952,4827,4511
1-Jul-12,154067,97179,7791,9536,7783,315644,8921,4686,4460
2-Jul-12,154700,88310,7762,9685,7507,314652,9006,4956,4385
3-Jul-12,150144,88132,7761,9886,7312,311738,8958,4687,4255
4-Jul-12,150526,85676,7721,9764,7196,309040,8936,4736,4172
5-Jul-12,149510,83466,7751,9408,7103,307850,8832,4780,4055
6-Jul-12,148012,81224,7698,9481,6962,304130,8804,4472,3961
7-Jul-12,145586,79745,7662,9348,6635,303546,8811,4536,3903
8-Jul-12,145843,77247,7650,9175,6793,301526,8859,4529,3874
9-Jul-12,138982,76692,7636,8710,6724,299187,8741,4465,3855
10-Jul-12,142777,74519,7579,8688,6652,295221,8582,4490,3805
11-Jul-12,141844,71463,7557,8611,6545,291174,8700,4356,3729
12-Jul-12,141567,68607,7519,8490,6438,286608,8547,4324,3662
