Date,Close,Volume,movAvg50,movAvg100,movAvg200
18-Jun-12,52.9,1082,56.656,58.512,56.637
19-Jun-12,52.4,3018,56.51,58.424,56.6465
20-Jun-12,53,1067,56.372,58.34,56.6575
21-Jun-12,53.6,2163,56.246,58.273,56.675
22-Jun-12,53.8,743,56.126,58.209,56.6935
23-Jun-12,54,607,56.012,58.137,56.7115
24-Jun-12,53.9,1754,55.9,58.071,56.729
25-Jun-12,53.9,39,55.784,58.011,56.7465
26-Jun-12,53.5,2059,55.654,57.941,56.7625
27-Jun-12,54,1901,55.542,57.884,56.7825
28-Jun-12,55,2771,55.458,57.839,56.807
29-Jun-12,54.2,3230,55.348,57.78,56.8265
30-Jun-12,54.7,1967,55.258,57.724,56.8495
1-Jul-12,55.1,996,55.19,57.676,56.8655
2-Jul-12,55.7,1106,55.118,57.63,56.888
3-Jul-12,55.9,2313,55.058,57.59,56.91
4-Jul-12,56.4,1763,55.004,57.554,56.937
5-Jul-12,56.3,1480,54.984,57.52,56.9635
6-Jul-12,56.4,2111,54.944,57.489,56.9885
7-Jul-12,55.9,2402,54.902,57.448,57.0135
8-Jul-12,56.3,144,54.888,57.407,57.0405
9-Jul-12,56.3,623,54.878,57.368,57.0645
10-Jul-12,56,1604,54.878,57.32,57.085
11-Jul-12,55.6,782,54.87,57.268,57.1065
12-Jul-12,55.7,973,54.81,57.221,57.1255
13-Jul-12,55,1283,54.736,57.163,57.1405
14-Jul-12,55.4,1277,54.686,57.11,57.158
15-Jul-12,55.2,883,54.632,57.059,57.174
16-Jul-12,55.5,559,54.592,57.007,57.1915
17-Jul-12,55.7,2434,54.554,56.961,57.21
18-Jul-12,56.2,2551,54.516,56.92,57.2315
19-Jul-12,57.6,7748,54.516,56.89,57.26
20-Jul-12,56.5,1814,54.492,56.848,57.2825
21-Jul-12,59,5262,54.54,56.831,57.3205
22-Jul-12,59.5,7169,54.648,56.818,57.3615
23-Jul-12,58.8,1468,54.76,56.799,57.3985
24-Jul-12,57.8,1732,54.85,56.768,57.4275
25-Jul-12,57.1,1981,54.922,56.725,57.456
26-Jul-12,56.9,2823,55.014,56.682,57.4895
27-Jul-12,57.2,3531,55.106,56.646,57.5205
28-Jul-12,56.9,1611,55.178,56.61,57.5455
29-Jul-12,57.3,849,55.252,56.579,57.5795
30-Jul-12,57,385,55.322,56.548,57.6095
31-Jul-12,57.2,1391,55.4,56.517,57.639
1-Aug-12,57.5,1696,55.478,56.494,57.671
2-Aug-12,58.2,3463,55.586,56.479,57.705
3-Aug-12,58.4,2295,55.696,56.461,57.7375
4-Aug-12,58,3061,55.798,56.438,57.769
5-Aug-12,58.3,1904,55.908,56.419,57.801
6-Aug-12,58.2,1450,56.018,56.404,57.8325
7-Aug-12,57.9,4263,56.118,56.387,57.8625
8-Aug-12,58,4359,56.23,56.37,57.8855
9-Aug-12,59.6,3428,56.362,56.367,57.909
10-Aug-12,58.8,3457,56.466,56.356,57.9235
11-Aug-12,58.3,5054,56.556,56.341,57.9405
12-Aug-12,58.9,6042,56.654,56.333,57.9555
13-Aug-12,58.3,5716,56.742,56.321,57.972
14-Aug-12,57.3,9132,56.81,56.297,57.9835
15-Aug-12,57.1,9671,56.882,56.268,57.999
16-Aug-12,56.9,6537,56.94,56.241,58.0095
17-Aug-12,56.8,8612,56.976,56.217,58.0215
18-Aug-12,57,8366,57.032,56.19,58.0365
19-Aug-12,57,2077,57.078,56.168,58.0475
20-Aug-12,57.4,3475,57.124,56.157,58.0575
21-Aug-12,57.5,9243,57.16,56.139,58.067
22-Aug-12,57.4,7961,57.19,56.124,58.0715
23-Aug-12,57.3,4962,57.208,56.106,58.075
24-Aug-12,57.1,6939,57.224,56.104,58.076
25-Aug-12,56.9,5502,57.234,56.089,58.0705
26-Aug-12,56.4,3085,57.244,56.073,58.0565
27-Aug-12,55.7,7589,57.232,56.06,58.0315
28-Aug-12,56,3852,57.226,56.052,58.0115
29-Aug-12,56.6,15643,57.238,56.058,58.0005
30-Aug-12,55.7,15082,57.24,56.055,57.984
31-Aug-12,57,16426,57.266,56.038,57.9715
1-Sep-12,58.4,21889,57.334,56.035,57.965
2-Sep-12,58,5155,57.386,56.036,57.9555
3-Sep-12,57.9,3292,57.44,56.036,57.944
4-Sep-12,58.4,13863,57.498,56.045,57.945
5-Sep-12,58.5,7631,57.554,56.054,57.9385
6-Sep-12,58.8,15547,57.606,56.061,57.9355
7-Sep-12,58.7,25142,57.628,56.072,57.9315
8-Sep-12,58,38574,57.658,56.075,57.9245
9-Sep-12,57.6,17805,57.63,56.085,57.915
10-Sep-12,58.2,11311,57.604,56.126,57.905
11-Sep-12,60.3,29927,57.634,56.197,57.904
12-Sep-12,61,18877,57.698,56.274,57.906
13-Sep-12,63.2,30359,57.82,56.371,57.917
