Date,Open,Low,High,Close,Volume,movAvg50,movAvg100,movAvg200
1-Mar-11,63.5,63.5,63.5,63.5,1,60.568,NaN,NaN
2-Mar-11,63.6,63.5,63.6,63.6,13,60.68,NaN,NaN
3-Mar-11,64,64,64,64,12,60.8,NaN,NaN
4-Mar-11,64,64,64,64,0,60.92,NaN,NaN
5-Mar-11,61.1,61.1,61.1,61.1,5,60.964,NaN,NaN
6-Mar-11,61.1,61.1,61.1,61.1,26,61.008,NaN,NaN
7-Mar-11,61.1,61.1,61.1,61.1,69,61.052,NaN,NaN
8-Mar-11,61.1,61.1,61.1,61.1,0,61.096,NaN,NaN
9-Mar-11,63.9,62.8,63.9,62.8,12,61.174,NaN,NaN
10-Mar-11,62.7,62.7,62.8,62.7,22,61.25,NaN,NaN
11-Mar-11,60.8,60.8,60.8,60.8,5,61.334,NaN,NaN
12-Mar-11,61.5,61.4,62,62,31,61.376,NaN,NaN
13-Mar-11,62,62,62,62,0,61.418,NaN,NaN
14-Mar-11,62,62,62,62,0,61.46,NaN,NaN
15-Mar-11,61.3,61.1,61.7,61.7,41,61.452,58.488,NaN
16-Mar-11,61.7,61.7,62,62,111,61.45,58.607,NaN
17-Mar-11,62.9,62.9,63,63,47,61.47,58.736,NaN
18-Mar-11,63,63,63,63,0,61.49,58.866,NaN
19-Mar-11,63,63,63,63,0,61.51,58.996,NaN
20-Mar-11,63,63,63,63,0,61.526,59.126,NaN
21-Mar-11,61.1,61.1,61.1,61.1,1,61.504,59.237,NaN
22-Mar-11,61.1,61.1,61.1,61.1,0,61.482,59.348,NaN
23-Mar-11,61,61,61.2,61,53,61.458,59.458,NaN
24-Mar-11,61,61,61,61,47,61.478,59.568,NaN
25-Mar-11,61,61,61,61,0,61.498,59.628,NaN
26-Mar-11,60.8,60.8,60.9,60.8,10,61.514,59.686,NaN
27-Mar-11,60.8,60.8,60.8,60.8,0,61.51,59.744,NaN
28-Mar-11,60.8,60.8,60.8,60.8,0,61.506,59.802,NaN
29-Mar-11,63,61.9,64.9,63,170,61.546,59.882,NaN
30-Mar-11,64,63.9,64,64,26,61.606,59.972,NaN
31-Mar-11,64,64,64,64,0,61.666,60.062,NaN
1-Apr-11,63.1,60.8,63.1,60.8,149,61.686,60.12,NaN
2-Apr-11,60.8,60.8,60.8,60.8,0,61.706,60.178,NaN
3-Apr-11,59.9,59.5,59.9,59.5,115,61.708,60.223,NaN
4-Apr-11,59.4,59.4,59.4,59.4,5,61.708,60.267,NaN
5-Apr-11,59.1,59,59.9,59.9,162,61.718,60.316,NaN
6-Apr-11,59.04,59,59.8,59.8,90,61.726,60.364,NaN
7-Apr-11,59.1,59.1,59.6,59.1,100,61.708,60.405,NaN
8-Apr-11,59.1,59.1,59.1,59.1,0,61.69,60.446,NaN
9-Apr-11,59.1,59.1,59.1,59.1,0,61.672,60.487,NaN
10-Apr-11,59.4,59.4,59.4,59.4,10,61.66,60.531,NaN
11-Apr-11,59.5,59.5,59.5,59.5,50,61.65,60.576,NaN
12-Apr-11,59.5,59.5,59.5,59.5,0,61.64,60.621,NaN
13-Apr-11,59.9,59.9,59.9,59.9,2,61.638,60.66,NaN
14-Apr-11,60,59.2,60,59.2,104,61.622,60.682,NaN
15-Apr-11,59,59,59.6,59.6,7,61.518,60.717,NaN
16-Apr-11,59.1,59.1,59.9,59.9,695,61.44,60.755,NaN
17-Apr-11,59.3,59,59.3,59,16,61.344,60.784,NaN
18-Apr-11,59.1,59.1,59.1,59.1,59,61.25,60.796,NaN
19-Apr-11,59.7,58.9,59.7,58.9,31,61.152,60.805,NaN
20-Apr-11,59,59,59,59,3,61.062,60.815,NaN
21-Apr-11,59,59,59,59,36,60.97,60.825,NaN
22-Apr-11,59,58.6,59,58.6,11,60.862,60.831,NaN
